Form__File,Filed,Filing_entityperson
SC 13D/A (Beneficial ownership report) ,2024-11-26,"Cidara Therapeutics, Inc.  (CDTX)  RA CAPITAL MANAGEMENT, L.P. "
SC 13G (Beneficial ownership report) ,2024-11-26,"Crescent Capital BDC, Inc.  (CCAP, FCRX)  SUN LIFE FINANCIAL INC "
SC 13D/A (Beneficial ownership report) ,2024-11-26,"Indaptus Therapeutics, Inc.  (INDP)  Meckler Jeffrey A "
SC 13G/A (Beneficial ownership report) ,2024-11-26,SIMILARWEB LTD.  (SMWB)  ION Crossover Partners Ltd 
SC 13G (Beneficial ownership report) ,2024-11-26,"Semler Scientific, Inc.  (SMLR)  CAPITAL VENTURES INTERNATIONAL "
SC 13D/A (Beneficial ownership report) ,2024-11-26,"First High-School Education Group Co., Ltd.  (FHSEY)  Zhang Shaowei "
SC 13G (Beneficial ownership report) ,2024-11-26,Paranovus Entertainment Technology Ltd.  (PAVS)  Minotaur Hk Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-26,"OLD MARKET CAPITAL Corp  (OMCC)  MAGNOLIA CAPITAL FUND, LP "
SC 13D/A (Beneficial ownership report) ,2024-11-26,Verrica Pharmaceuticals Inc.  (VRCA)  Manning Paul B 
SC 13G/A (Beneficial ownership report) ,2024-11-25,"ReTo Eco-Solutions, Inc.  (RETO)  Jaash Investment Ltd. "
SC 13D/A (Beneficial ownership report) ,2024-11-25,Apollo S3 Private Markets Fund  APO Corp. 
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Primo Brands Corp  (PRMB)  ORCP III DE TopCo GP, LLC "
SC 13G/A (Beneficial ownership report) ,2024-11-25,"Bridgeline Digital, Inc.  (BLIN)  Jacobsen Per A. "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-25,"SEELOS THERAPEUTICS, INC.  (SEEL)  Weber Mark "
SC 13G/A (Beneficial ownership report) ,2024-11-25,"Maris Tech Ltd.  (MTEK, MTEKW)  Jacobsen Per A. "
SC 13G/A (Beneficial ownership report) ,2024-11-25,"ReTo Eco-Solutions, Inc.  (RETO)  Jasha Group Ltd. "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Eaton Vance California Municipal Bond Fund  (EVM)  Saba Capital Management, L.P. "
SC 13G (Beneficial ownership report) ,2024-11-25,CHAIN BRIDGE BANCORP INC  (CBNA)  Hingham Institution for Savings 
SC 13D/A (Beneficial ownership report) ,2024-11-25,"NATURAL GAS SERVICES GROUP INC  (NGS)  Mill Road Capital III, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"ENVESTNET, INC.  (ENV)  Impactive Capital LP "
SC 13D (Beneficial ownership report) ,2024-11-25,"Red Violet, Inc.  (RDVT)  Dubner Derek "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"loanDepot, Inc.  (LDI)  Hsieh Anthony Li "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-25,"Aris Water Solutions, Inc.  (ARIS)  Delaware Energy LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Puerto Rico Residents Tax-Free Fund, Inc.  Ocean Capital LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-25,"NCR Voyix Corp  (VYX, NCRRP)  SHAPIRO CAPITAL MANAGEMENT LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Red Violet, Inc.  (RDVT)  Dubner Derek "
SC 13D/A (Beneficial ownership report) ,2024-11-25,VSE CORP  (VSEC)  KOONCE CALVIN SCOTT 
SC 13D/A (Beneficial ownership report) ,2024-11-25,"DORCHESTER MINERALS, L.P.  (DMLP)  Carrollton Mineral Partners IV, LP "
SC 13D (Beneficial ownership report) ,2024-11-25,NATURAL GAS SERVICES GROUP INC  (NGS)  Taylor Stephen Charles 
SC 13D/A (Beneficial ownership report) ,2024-11-25,"BigBear.ai Holdings, Inc.  (BBAI, BBAI-WT)  BBAI Ultimate Holdings, LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"BERKSHIRE HATHAWAY INC  (BRK-A, BRK-B)  BUFFETT WARREN E "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"ATI Physical Therapy, Inc.  (ATIP, ATIPW)  FIG Buyer GP, LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-25,JE Cleantech Holdings Ltd  (JCSE)  Hong Bee Yin 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-25,Borr Drilling Ltd  (BORR)  Granular Capital Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Paysafe Ltd  (PSFE, PSFE-WT)  Cannae Holdings, Inc. "
SC 13G (Beneficial ownership report) ,2024-11-25,"Dynamix Corp  (DYNX)  K2 PRINCIPAL FUND, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Invesco Trust for Investment Grade New York Municipals  (VTN)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"NatWest Group plc  (NWG, RBSPF)  HM Treasury "
SC 13G/A (Beneficial ownership report) ,2024-11-25,"UWM Holdings Corp  (UWMC, UWMC-WT)  Garvin Family Sports, L.L.C. "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Vertical Aerospace Ltd.  (EVTL, EVTL-WT)  Fitzpatrick Stephen James "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"ADAMS DIVERSIFIED EQUITY FUND, INC.  (ADX)  Saba Capital Management, L.P. "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-11-25,HERZFELD CARIBBEAN BASIN FUND INC  (CUBA)  HERZFELD THOMAS J 
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Vertical Aerospace Ltd.  (EVTL, EVTL-WT)  Mudrick Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Summit Materials, Inc.  (SUM)  Argos SEM, LLC "
SC 13G (Beneficial ownership report) ,2024-11-25,"Aclaris Therapeutics, Inc.  (ACRS)  Biosion, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-11-25,Mobile Infrastructure Corp  (BEEP)  Chavez Manuel III 
SC 13G/A (Beneficial ownership report) ,2024-11-25,NEUROONE MEDICAL TECHNOLOGIES Corp  (NMTC)  LYTTON LAURENCE W 
SC 13D (Beneficial ownership report) ,2024-11-25,"Exela Technologies, Inc.  (XELA, XELAP)  HandsOn Fund 4 I, LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-25,KKR FS Income Trust  NEXTERA ENERGY INC 
SC 13G (Beneficial ownership report) ,2024-11-25,"HAWTHORN BANCSHARES, INC.  (HWBK)  Eden Douglas Todd "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Miller/Howard High Income Equity Fund  (HIE)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Puerto Rico Residents Tax-Free Fund IV, Inc.  Ocean Capital LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-25,AGCO CORP /DE  (AGCO)  SRINIVASAN MALLIKA 
SC 13D/A (Beneficial ownership report) ,2024-11-25,LQR House Inc.  (LQR)  Lazar David E. 
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Modular Medical, Inc.  (MODD)  MANCHESTER MANAGEMENT CO LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-25,GULFPORT ENERGY CORP  (GPOR)  Silver Point Capital L.P. 
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Vast Renewables Ltd  (VSTE, VSTEW)  AgCentral Energy Pty Ltd. "
SC 13G/A (Beneficial ownership report) ,2024-11-25,"ReTo Eco-Solutions, Inc.  (RETO)  Starlight Golden Stone Pte. Ltd. "
SC 13G/A (Beneficial ownership report) ,2024-11-25,THUMZUP MEDIA Corp  (TZUP)  THOMAS JOE D 
SC 13D/A (Beneficial ownership report) ,2024-11-25,Sleep Number Corp  (SNBR)  STADIUM CAPITAL MANAGEMENT LLC 
SC 13G (Beneficial ownership report) ,2024-11-25,5C Lending Partners Corp.  LIBERTY MUTUAL HOLDING CO 
SC 13G (Beneficial ownership report) ,2024-11-25,"M3-Brigade Acquisition V Corp.  (MBAV, MBAVU, MBAVW)  M3-Brigade Sponsor V LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-25,"Nuburu, Inc.  (BURU, BURUW)  Seldin David "
SC 13G (Beneficial ownership report) ,2024-11-22,"DT Cloud Acquisition Corp  (DYCQ, DYCQR, DYCQU)  DT Cloud Capital Corp. "
SC 13D/A (Beneficial ownership report) ,2024-11-22,SKYX Platforms Corp.  (SKYX)  Kohen Ran Roland 
SC 13D/A (Beneficial ownership report) ,2024-11-22,"Neumora Therapeutics, Inc.  (NMRA)  ARCH Venture Fund XII, L.P. "
SC 13G/A (Beneficial ownership report) ,2024-11-22,Exscientia plc  (EXAI)  Novo Holdings A/S 
SC 13G/A (Beneficial ownership report) ,2024-11-22,"MGT CAPITAL INVESTMENTS, INC.  (MGTI)  Bucktown Capital LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-22,"PROSPECT CAPITAL CORP  (PSEC, PSEC-PA)  Barry John F "
SC 13D/A (Beneficial ownership report) ,2024-11-22,HCW Biologics Inc.  (HCWB)  Wong Hing C 
SC 13D/A (Beneficial ownership report) ,2024-11-22,QUOTEMEDIA INC  (QMCI)  Harland Group LLC 
SC 13D/A (Beneficial ownership report) ,2024-11-22,"Prime Medicine, Inc.  (PRME)  ARCH Venture Fund XII, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-22,"Xponential Fitness, Inc.  (XPOF)  Grabowski Mark "
SC 13D/A (Beneficial ownership report) ,2024-11-22,"Falcon's Beyond Global, Inc.  (FBYD, FBYDW)  Infinite Acquisitions Partners LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-22,CMB.TECH NV  (CMBT)  Compagnie Maritime Belge NV 
SC 13D/A (Beneficial ownership report) ,2024-11-22,"Rumble Inc.  (RUM, RUMBW)  Milnes Ryan "
SC 13D/A (Beneficial ownership report) ,2024-11-22,"Direct Digital Holdings, Inc.  (DRCT) "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-22,"Wilhelmina International, Inc.  (WHLM)  Donat Doron "
SC 13D/A (Beneficial ownership report) ,2024-11-22,HWH International Inc.  (HWH)  Chan Heng Fai Ambrose 
SC 13D/A (Beneficial ownership report) ,2024-11-22,"P10, Inc.  (PX)  210 Capital, LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-22,"ARC DOCUMENT SOLUTIONS, INC.  (ARC)  Suriyakumar Kumarakulasingam "
SC 13D/A (Beneficial ownership report) ,2024-11-22,Exscientia plc  (EXAI)  SB Global Advisers Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-22,"Singular Genomics Systems, Inc.  (OMIC)  CRCM LP "
SC 13G (Beneficial ownership report) ,2024-11-22,"Apellis Pharmaceuticals, Inc.  (APLS)  Deep Track Capital, LP "
SC 13D/A (Beneficial ownership report) ,2024-11-22,"NGL Energy Partners LP  (NGL, NGL-PB, NGL-PC)  EIG NEPTUNE EQUITY AGGREGATOR, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-22,West Bay BDC LLC  Qatar Investment Authority 
SC 13D/A (Beneficial ownership report) ,2024-11-22,"MARKETWISE, INC.  (MKTW)  Monument & Cathedral Holdings, LLC "
SC 13G/A (Beneficial ownership report) ,2024-11-22,"Wilhelmina International, Inc.  (WHLM)  Omni Retail Enterprises, LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-22,"IBEX Ltd  (IBEX)  PineBridge GEM II G.P., L.P. "
SC 13G/A (Beneficial ownership report) ,2024-11-22,"OKMIN RESOURCES, INC.  (OKMN)  Naparstek Shmuel "
SC 13G (Beneficial ownership report) ,2024-11-22,"Horizon Space Acquisition II Corp.  (HSPT, HSPTU)  BOOTHBAY FUND MANAGEMENT, LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-22,Finward Bancorp  (FNWD)  BOCHNOWSKI DAVID A 
SC 13D/A (Beneficial ownership report) ,2024-11-22,"Getty Images Holdings, Inc.  (GETY)  Neuberger Berman Group LLC "
SC 13G/A (Beneficial ownership report) ,2024-11-22,"Hayward Holdings, Inc.  (HAYW)  MSD CAPITAL L P "
SC 13G (Beneficial ownership report) ,2024-11-22,"DT Cloud Star Acquisition Corp  (DTSQ, DTSQR, DTSQU)  DT Cloud Star Management Ltd "
SCHEDULE 13D (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-11-22,"STREAMLINE HEALTH SOLUTIONS INC.  (STRM)  Tamarack Advisers, LP "
SC 13G (Beneficial ownership report) ,2024-11-22,"Dianthus Therapeutics, Inc. /DE/  (DNTH)  TCG Crossover GP II, LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-22,"QT IMAGING HOLDINGS, INC.  (QTI, QTIWW)  Katz Avi S "
SC 13G/A (Beneficial ownership report) ,2024-11-22,"Perimeter Solutions, Inc.  (PRM)  Meritage Group LP "
SC 13G/A (Beneficial ownership report) ,2024-11-22,"CORNING INC /NY  (GLW)  Samsung Display Co., Ltd. "
SC 13G (Beneficial ownership report) ,2024-11-22,"Aclaris Therapeutics, Inc.  (ACRS)  Rock Springs Capital Management LP "
SC 13D/A (Beneficial ownership report) ,2024-11-22,"SiriusPoint Ltd  (SPNT, SSPFF, SPNT-PB)  CM BERMUDA Ltd "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-11-22,MESA ROYALTY TRUST/TX  (MTR)  A. Gile & Co. LLC 
SC 13G/A (Beneficial ownership report) ,2024-11-22,"Apellis Pharmaceuticals, Inc.  (APLS)  Deep Track Capital, LP "
SC 13D/A (Beneficial ownership report) ,2024-11-22,"R1 RCM Inc. /DE  (RCM)  New Mountain Investments V, L.L.C. "
SC 13G (Beneficial ownership report) ,2024-11-22,"Arcellx, Inc.  (ACLX)  RA CAPITAL MANAGEMENT, L.P. "
SC 13G (Beneficial ownership report) ,2024-11-22,CIMPRESS plc  (CMPR)  SPRUCE HOUSE INVESTMENT MANAGEMENT LLC 
SC 13G (Beneficial ownership report) ,2024-11-21,Paranovus Entertainment Technology Ltd.  (PAVS)  Sincere Talent Investment Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-21,"PIONEER MUNICIPAL HIGH INCOME ADVANTAGE FUND, INC.  (MAV)  Saba Capital Management, L.P. "
SC 13D (Beneficial ownership report) ,2024-11-21,Ming Shing Group Holdings Ltd  (MSW)  Lam Chi Ming 
SC 13G/A (Beneficial ownership report) ,2024-11-21,"Valens Semiconductor Ltd.  (VLN, VLN-WT)  Linse Capital VAL LLC "
SC 13D (Beneficial ownership report) ,2024-11-21,"Magnera Corp  (MAGN)  ENGINE CAPITAL, L.P. "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-21,EASTMAN CHEMICAL CO  (EMN)  FRANKLIN RESOURCES INC 
SC 13G (Beneficial ownership report) ,2024-11-21,Chemomab Therapeutics Ltd.  (CMMB)  Otto Erik 
SC 13D/A (Beneficial ownership report) ,2024-11-21,"NEW GERMANY FUND INC  (GF)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-21,QuidelOrtho Corp  (QDEL)  Carlyle Group Inc. 
SC 13G (Beneficial ownership report) ,2024-11-21,"Five9, Inc.  (FIVN)  PICTET ASSET MANAGEMENT SA "
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Oruka Therapeutics, Inc.  (ORKA)  Fairmount Funds Management LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-21,"XBP Europe Holdings, Inc.  (XBP, XBPEW)  CFAC Holdings VIII, LLC. "
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Dragonfly Energy Holdings Corp.  (DFLI, DFLIW)  Phares Denis "
SC 13G/A (Beneficial ownership report) ,2024-11-21,"MGT CAPITAL INVESTMENTS, INC.  (MGTI)  Streeterville Capital LLC "
SC 13G/A (Beneficial ownership report) ,2024-11-21,"Frontier Communications Parent, Inc.  (FYBR)  Glendon Capital Management LP "
SC 13D/A (Beneficial ownership report) ,2024-11-21,"DWS STRATEGIC MUNICIPAL INCOME TRUST  (KSM)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Satellogic Inc.  (SATL, SATLW)  CANTOR FITZGERALD, L. P. "
SC 13G (Beneficial ownership report) ,2024-11-21,Paranovus Entertainment Technology Ltd.  (PAVS)  Joyful Bright Management Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Invesco Pennsylvania Value Municipal Income Trust  (VPV)  Saba Capital Management, L.P. "
SC 13G (Beneficial ownership report) ,2024-11-21,"Aclaris Therapeutics, Inc.  (ACRS)  Vivo Opportunity Fund Holdings, L.P. "
SC 13G (Beneficial ownership report) ,2024-11-21,Paranovus Entertainment Technology Ltd.  (PAVS)  Fortune Universe Co Ltd 
SC 13G (Beneficial ownership report) ,2024-11-21,Paranovus Entertainment Technology Ltd.  (PAVS)  Wonder Galaxy Investment Ltd 
SC 13G (Beneficial ownership report) ,2024-11-21,THUMZUP MEDIA Corp  (TZUP)  Castaldo Gregory 
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Mallinckrodt plc  Bracebridge Capital, LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Electromed, Inc.  (ELMD)  SKARVAN KATHLEEN "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-21,"BJ's Wholesale Club Holdings, Inc.  (BJ)  FRANKLIN RESOURCES INC "
SC 13D/A (Beneficial ownership report) ,2024-11-21,Franklin BSP Private Credit Fund  FRANKLIN RESOURCES INC 
SC 13D/A (Beneficial ownership report) ,2024-11-21,"CF Acquisition Corp. VII  (CFFS, CFFSU, CFFSW)  CFAC Holdings VII, LLC "
SC 13G (Beneficial ownership report) ,2024-11-21,DallasNews Corp  (DALN)  Smith Denver Johnson 
SC 13G (Beneficial ownership report) ,2024-11-21,TETRA TECH INC  (TTEK)  PICTET ASSET MANAGEMENT SA 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-21,"NRG ENERGY, INC.  (NRG)  FRANKLIN RESOURCES INC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-11-21,PULTEGROUP INC/MI/  (PHM)  FRANKLIN RESOURCES INC 
SC 13D/A (Beneficial ownership report) ,2024-11-21,"NEWMARK GROUP, INC.  (NMRK)  CANTOR FITZGERALD, L. P. "
SC 13G (Beneficial ownership report) ,2024-11-21,Altair Engineering Inc.  (ALTR)  PICTET ASSET MANAGEMENT SA 
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Cantor Equity Partners, Inc.  (CEP)  Cantor EP Holdings, LLC "
SC 13G (Beneficial ownership report) ,2024-11-21,Oportun Financial Corp  (OPRT)  CASTLELAKE L.P. 
SC 13G (Beneficial ownership report) ,2024-11-21,"RingCentral, Inc.  (RNG)  PICTET ASSET MANAGEMENT SA "
SC 13D/A (Beneficial ownership report) ,2024-11-21,Oklo Inc.  (OKLO)  DeWitte Jacob 
SC 13D (Beneficial ownership report) ,2024-11-21,ZEEKR Intelligent Technology Holding Ltd  (ZK)  GHGK Innovation Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Nature's Miracle Holding Inc.  (NMHI, NMHIW)  LI TIE JAMES "
SC 13G (Beneficial ownership report) ,2024-11-21,"iTeos Therapeutics, Inc.  (ITOS)  BIOTECHNOLOGY VALUE FUND L P "
SC 13D (Beneficial ownership report) ,2024-11-21,"DP Cap Acquisition Corp I  (DPCS, DPCSU, DPCSW)  Highview Bridge LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Finance of America Companies Inc.  (FOA, FOACW)  Bloom Retirement Holdings Inc. "
SC 13G/A (Beneficial ownership report) ,2024-11-21,"REED'S, INC.  (REED)  Union Square Park Capital Management, LLC "
SC 13G/A (Beneficial ownership report) ,2024-11-21,"NLS Pharmaceutics Ltd.  (NLSP, NLSPW)  Hafner Ronald "
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Greenfire Resources Ltd.  (GFR, GFRWF)  WATEROUS ENERGY FUND III (US) LP "
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Better Home & Finance Holding Co  (BETR, BETRW)  Novator Capital Sponsor Ltd. "
SC 13G (Beneficial ownership report) ,2024-11-21,Paranovus Entertainment Technology Ltd.  (PAVS)  Yosmite Unanimous Investment Ltd 
SC 13D/A (Beneficial ownership report) ,2024-11-21,"Nature's Miracle Holding Inc.  (NMHI, NMHIW)  Zhang Zhiyi "
SC 13G/A (Beneficial ownership report) ,2024-11-21,"Alchemy Investments Acquisition Corp 1  (ALCY, ALCYU, ALCYW)  Alchemy DeepTech Capital LLC "
SC 13D/A (Beneficial ownership report) ,2024-11-21,StepStone Group Inc.  (STEP)  Lim James 
SC 13G/A (Beneficial ownership report) ,2024-11-21,"XTI Aerospace, Inc.  (XTIA)  ALI NADIR "
